,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
10,"Brands Doing More Content Marketing with Less Return, TrackMaven Says",10 phrases in your emails that make you sound unprofessional (1.00),"Jupitermedia: Media Analyst, NYC (1.00)","Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Social Media Customer Care Company Raises $1 Million for Growth (1.00),Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Graph Search Presents Opportunties to Reach More Facebook Users (1.00),How Google Upgraded URLs Will Change Your AdWords Experience (1.00),No one is telling you the dark side of becoming an entrepreneur (1.00),5 Reasons You Can No Longer Afford to Ignore Google Plus (1.00),20 Steps to a Renewable Energy Plan on a Budget (1.00)
11,You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations,"Jupitermedia: Media Analyst, NYC (1.00)",4 Real Reasons to Care About Google Place Pages (1.00),How to Turn Around a Bad Review Online Successfully (1.00),The Original Social Swami Joins Surefire Social (1.00),What If Someone Stole Your Website? (1.00),Jon Ferrara of Nimble: Social Selling is About Striking the Right Balance of Insights and Instincts (1.00),LinkedIn Increases Social Sharing Options (1.00),The Network Is Your Customer: Combining Strategy and Technology (1.00),CEO of @PipelinerCRM: Sales is About Process & People Not Data Mgmt (1.00),5 Internet Marketing Trends for SMBs to Watch in 2012 (1.00)
12,10 things you need to know in markets today,Getting In The Game Puts Your Start Up Investment on the Board (1.15),The 20 best smartphones in the world (1.00),Here comes consumer confidence... (1.00),Here comes Wells Fargo... (1.00),The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start (1.00),10 things you need to know before European markets open (1.00),What you need to know on Wall Street right now (1.00),STOCKS SLIP: Here's what you need to know (1.00),"Federal Gas Tax Could Increase by 15 Cents, More Costs Possible (1.00)",New Details Starting to Emerge About the Latest MacBook Air (1.00)
13,"Jupitermedia: Media Analyst, NYC",20 Steps to a Renewable Energy Plan on a Budget (1.01),10 phrases in your emails that make you sound unprofessional (1.00),"Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)",You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations (1.00),4 Real Reasons to Care About Google Place Pages (1.00),"Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",How to Turn Around a Bad Review Online Successfully (1.00),Social Media Customer Care Company Raises $1 Million for Growth (1.00),The Original Social Swami Joins Surefire Social (1.00),What If Someone Stole Your Website? (1.00)
14,Better Online Marketing Optimization Through Google Analytics: A Book Review,Metrics Overload? How to Streamline Marketing Data (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How Does Social Media Aid Lead Generation? (1.00),Book Review: You Are What You Choose (1.00),Review: Attention! This Book Will Make You Money (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),Why SMB owners should care about SEO (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),4 Ways to Encourage Online Reviews (1.00)
15,Is Your Small Business Marketing to Hispanic Consumers?,Quantify Lets You Shop For Your Next Business Consultant Online (1.00),How Cloud Computing Can Help You Scale Your Business (1.00),"Spring Clean Your Small Business, Twitter Chat Recap (1.00)",Chekkt: A Place To Discover Business Management Software (1.00),Tom Byun of Yahoo! Small Business: Making That Next Sale (1.00),How to Form an LLC or Incorporate a Business (1.00),Working On Your Business Not In It (1.00),Are You Ready to Start a Small Business? (1.00),The Toughest Franchise Business In The World (1.00),Where Is the Best State to Incorporate Your Business? (1.00)
16,Victoria's Secret supermodel reveals everything she eats in a day,Getting In The Game Puts Your Start Up Investment on the Board (1.32),On the Long Road to Economic Recovery? You Decide (1.01),Indian markets welcome GST but see challenges ahead (1.01),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)"
17,Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium,Getting In The Game Puts Your Start Up Investment on the Board (1.26),Victoria's Secret supermodel reveals everything she eats in a day (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Here comes Markit services PMI ... (1.00),The 20 best smartphones in the world (1.00),Here comes consumer confidence... (1.00),Nokia Introduces Asha Smartphones Beginning at Just $69 (1.00),How to Get a Startup Visa Act Passed (1.00)
18,Hacking of Google Maps May Have Killed This Business,The Creative Small Business and 4 Ways to Get There (1.00),3 Key Business Marketing Trends for 2014 (1.00),Effective Websites for Small Businesses: A Review (1.00),Is Your Online Reputation Impacting Your Business? (1.00),20 Important LinkedIn Groups for Business (0.99),Practices of Top SEO Companies for Small Businesses (0.99),Why Online Reputation Matters to Small Business (0.99),How to Create DIY Professional Quality Writing for Your Small Business (0.99),Direct Marketing and Other Small Business Wonders (0.99),Black Business Secrets Offers Tips to a New Generation of African American Entrepreneurs (0.98)
19,Metrics Overload? How to Streamline Marketing Data,Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How Does Social Media Aid Lead Generation? (1.00),Review: Attention! This Book Will Make You Money (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),A Quick Guide to Local Search to Ease Any Confusion (1.00),Dig Into The Strategy Book (1.00),How To Get Your Content Shared On Twitter (1.00),Monitoring Your Social Media Channels From One Place is a Good Idea (1.00)
20,IRS Adopts Taxpayer Bill of Rights,Getting In The Game Puts Your Start Up Investment on the Board (1.19),Artsy Central Shows Trend Toward Etsy Alternatives (1.00),Amazon Takes Aim at Etsy with Handmade (1.00),2 Important Things to Know About Viral Videos (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),"Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good (1.00)",Green Packaging Solutions: Pizza Box With Built-In Paper Plates (1.00),Twitter Attack Caused Thousands to Retweet a Single Message (1.00),Constant Contact Moves into Mobile with Acquisition of CardStar (1.00),Is Network Congestion Choking Your Mobile Experience? (1.00)
21,4 Real Reasons to Care About Google Place Pages,You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations (1.00),"Jupitermedia: Media Analyst, NYC (1.00)","Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",How to Turn Around a Bad Review Online Successfully (1.00),Social Media Customer Care Company Raises $1 Million for Growth (1.00),The Original Social Swami Joins Surefire Social (1.00),What If Someone Stole Your Website? (1.00),What Does Google Place Pages Mean For SMBs? (1.00),Turn Visitors Into Buyers: Benefits of Retargeting (1.00),5 Reasons You Can No Longer Afford to Ignore Google Plus (1.00)
22,Why Employees Are Always A Bad Idea: A Review,Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),How Does Social Media Aid Lead Generation? (1.00),Book Review: You Are What You Choose (1.00),Review: Attention! This Book Will Make You Money (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),Why SMB owners should care about SEO (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),4 Ways to Encourage Online Reviews (1.00)
23,CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain,Getting In The Game Puts Your Start Up Investment on the Board (1.24),Amazon Takes Aim at Etsy with Handmade (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (0.99)",IRS Adopts Taxpayer Bill of Rights (0.99),2 Important Things to Know About Viral Videos (0.99),Enterprise Cloud Services Retooled as Google for Work (0.99),Facebook Messenger hits 1 billion users (0.99),Malicious Apps On Google Play Increase By 388 Percent (0.99),27 Percent of Mobile Sites Are Misconfigured Leading to Lower Traffic (0.99)
24,"New Apple iPad Thinner, Lighter But Still $499",Getting In The Game Puts Your Start Up Investment on the Board (1.29),Victoria's Secret supermodel reveals everything she eats in a day (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),On the Long Road to Economic Recovery? You Decide (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)","China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",Nokia Introduces Asha Smartphones Beginning at Just $69 (1.00),How to Get a Startup Visa Act Passed (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00),Apple Will Introduce Two Curved Phones (1.00)
25,Quantify Lets You Shop For Your Next Business Consultant Online,Is Your Small Business Marketing to Hispanic Consumers? (1.00),Chekkt: A Place To Discover Business Management Software (1.00),Tom Byun of Yahoo! Small Business: Making That Next Sale (1.00),Working On Your Business Not In It (1.00),68 E-Commerce and Shopping Carts for the Small Business (1.00),Are You Ready to Start a Small Business? (1.00),Raise and Re-Energize Your Business Metabolism (1.00),Small Business News: Tips For Your Next Venture (1.00),The Terms of Business: How to Negotiate a Partnership Agreement (1.00),25 Businesses You Can Start for Less Than $100 (1.00)
26,How to Leverage Infographics for B2B Marketing,3 Ways to Look at Marketing (1.00),Book Review: You Are What You Choose (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),"Smarter, Faster, Cheaper: A Review (1.00)",4 Ways to Encourage Online Reviews (1.00),10 Creative and Efficient Customer Service Solutions (1.00),"6 Statistics That Influence Your Mix of Media, Marketing and Mingling (1.00)",5 Pillars of Visual Marketing Plus Some Free Tools (1.00),7 Ways to Get More From Social Media in 2010 (1.00),20 Free Social Media Monitoring Tools You Should be Using (1.00)
27,Zapier Zaps Your Data from One App to Another With One Click,Facebook Testing New Shareable Ads (1.00),Sustainable Startups Using Technology to Make Use of Food Waste (1.00),A Beer Keurig Machine? SYNEK Draft System is on its Way (1.00),New Study Helps SMB Owner Analyze Local Search Data (1.00),This Coffee Shop is Selling More Than Just Coffee (1.00),Top Jobs Of The Week In Digital Media And Mobile Content (0.99),"No Ifs, Ands or Butts: Get Your Employees Fit! (0.99)",Facebook Now Recommends App Developers Turn Off Automatic Posting (0.99),Get Organized and Increase Your Productivity With Evernote (0.99),This curry stained Indian should be beaten and hanged: Shiva Ayyadurai on inventing email and the backlash that followed (0.99)
28,How Cloud Computing Can Help You Scale Your Business,Is Your Small Business Marketing to Hispanic Consumers? (1.00),"Spring Clean Your Small Business, Twitter Chat Recap (1.00)",Tom Byun of Yahoo! Small Business: Making That Next Sale (1.00),How to Form an LLC or Incorporate a Business (1.00),Working On Your Business Not In It (1.00),Evernote Business: Know What Your Team Knows (1.00),The Toughest Franchise Business In The World (1.00),Where Is the Best State to Incorporate Your Business? (1.00),Is Google Wallet Geared Toward Small Biz? (1.00),Getting Your Small Business Ready for the Holidays (1.00)
29,On the Long Road to Economic Recovery? You Decide,Getting In The Game Puts Your Start Up Investment on the Board (1.31),Victoria's Secret supermodel reveals everything she eats in a day (1.01),Indian markets welcome GST but see challenges ahead (1.01),Failing to deliver a 39-point list for school education cost Smriti Irani her job (1.01),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00)
30,Artsy Central Shows Trend Toward Etsy Alternatives,Getting In The Game Puts Your Start Up Investment on the Board (1.07),Google Acquisition of Motorola Finally Closes: Why You Should Care (1.00),IRS Adopts Taxpayer Bill of Rights (1.00),"Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good (1.00)",1001 Startup Ideas - Place for connecting students to micro-jobs (1.00),A New Code of Conduct for Affiliate Marketing (1.00),Constant Contact Moves into Mobile with Acquisition of CardStar (1.00),Is Network Congestion Choking Your Mobile Experience? (1.00),Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can (0.99),Twitter Attack Caused Thousands to Retweet a Single Message (0.99)
31,"Culture, Career Development and Networking Blend in Black Faces In White Places",20 Steps to a Renewable Energy Plan on a Budget (1.01),10 phrases in your emails that make you sound unprofessional (1.00),"Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)","Jupitermedia: Media Analyst, NYC (1.00)",4 Real Reasons to Care About Google Place Pages (1.00),Social Media Customer Care Company Raises $1 Million for Growth (1.00),Adwords Shopping Campaigns Set to Replace Product Listing Ads (1.00),Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects (1.00),The Original Social Swami Joins Surefire Social (1.00)
32,How Does Social Media Aid Lead Generation?,Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),Book Review: You Are What You Choose (1.00),Review: Attention! This Book Will Make You Money (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),Why SMB owners should care about SEO (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),4 Ways to Encourage Online Reviews (1.00)
33,Juice Your Apple Devices with this Fun Juice Box Charger,Getting In The Game Puts Your Start Up Investment on the Board (1.36),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00),"China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",The yen is surging (1.00)
34,The Daily Sprout,Getting In The Game Puts Your Start Up Investment on the Board (1.33),How 2 of the world's most powerful and dangerous drug lords compare (1.00),Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)","China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",iPad Users Get Refund on Office 365 (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00),First Smartphone Anti-Theft Law Could Also Make Reselling Phones Hard (1.00)
35,How to Turn Around a Bad Review Online Successfully,You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations (1.00),"Jupitermedia: Media Analyst, NYC (1.00)",4 Real Reasons to Care About Google Place Pages (1.00),How To Get Your Content Shared On Twitter (1.00),Giles House of CallidusCloud: Most Important Cloud is one that Turns Leads into Cash (1.00),The Original Social Swami Joins Surefire Social (1.00),What If Someone Stole Your Website? (1.00),Jon Ferrara of Nimble: Social Selling is About Striking the Right Balance of Insights and Instincts (1.00),LinkedIn Increases Social Sharing Options (1.00),"Twitter Ads Soar, But Beware This AdWords Hack (1.00)"
36,Building Trust: 5 Tips to Establish Your Credibility for Business,Tips for Tracking Employee Time Effectively in Your Business (1.00),Best Small Business Use of Facebook Graph Search: Local Businesses (1.00),25 Tips for Using Instagram in Your Business (0.99),Review of The Mesh: Why The Future of Business Is Sharing (0.99),Black Business Secrets Offers Tips to a New Generation of African American Entrepreneurs (0.99),7 Best Business Books for Summer Reading (0.99),The Experience Effect for Small Business is Full of Big Branding Strategies (0.99),Rock Your Business With These 23 Website Building Tools (0.98),6 Benefits of Social Media for Small Businesses (0.98),20 Important LinkedIn Groups for Business (0.97)
37,"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way",Getting In The Game Puts Your Start Up Investment on the Board (1.31),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),Your Uncharged Phone Might Not be Allowed on Some Flights (1.00)
38,Audiam Wants to Find Money for Musicians on YouTube,Getting In The Game Puts Your Start Up Investment on the Board (1.35),When is the Best Time to Trademark Your Company Name? (1.01),3 Questions for You to Ask Yourself About Employee Health Care (1.01),Finding Money for That Franchise When Money is Tight (1.00),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (1.00)",MyOpenID Will Shut Down in February (1.00),Facebook Messenger hits 1 billion users (1.00),"Yahoo Will Free Up Inactive IDs, Possibly Including Yours (1.00)",7 of the biggest myths about beer debunked (1.00),"Haiku Deck Offers PowerPoint Alternative, Fewer Features Touted (1.00)"
39,Book Review: You Are What You Choose,3 Ways to Look at Marketing (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00),Review: Attention! This Book Will Make You Money (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),"Smarter, Faster, Cheaper: A Review (1.00)",Why SMB owners should care about SEO (1.00)
40,Your Uncharged Phone Might Not be Allowed on Some Flights,Getting In The Game Puts Your Start Up Investment on the Board (1.33),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)","China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",iPad Users Get Refund on Office 365 (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00)
41,Google AdWords Conversion Import Tracks Offline Sales,Google Grants Available for Nonprofit Organizations (1.00),"The Rumors Are True, Facebook Gets Hashtags (1.00)",Adwords Shopping Campaigns Set to Replace Product Listing Ads (1.00),Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Yelp Data Shows the Power of Mobile Marketing (1.00),Mobile Apps SMBs Should Care About (1.00),A Picture Is Worth A 1000 Words: Pinterest Is On To Something (1.00),No one is telling you the dark side of becoming an entrepreneur (1.00),Web.com Moves Into Mobile Marketing With SmartCalls (1.00),3 Types of Schema Markup Content Marketers Should Know (1.00)
42,Here comes Markit services PMI ...,Getting In The Game Puts Your Start Up Investment on the Board (1.23),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),On the Long Road to Economic Recovery? You Decide (1.00),The 20 best smartphones in the world (1.00),Here comes consumer confidence... (1.00),Here comes Wells Fargo... (1.00),Curved Smartphones Trend:  G Flex Ready for the U.S. (1.00),How Venture Capital Deals Have Changed Since the Great Recession (1.00),The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start (1.00),Apple Will Introduce Two Curved Phones (1.00)
43,Review: Attention! This Book Will Make You Money,Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How Does Social Media Aid Lead Generation? (1.00),Book Review: You Are What You Choose (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),Why SMB owners should care about SEO (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),4 Ways to Encourage Online Reviews (1.00)
44,The Micro Business Home Equity Loan Crunch,94 Percent of People Think Buying From Small Businesses is Important (1.00),Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years (1.00),Business Fills Same Niche for Over 100 Years (1.00),Raising Minimum Wage: Next Proposal to Threaten Small Businesses (0.99),Putting Television in Your Lobby or Place of Business: What you Need to Know (0.99),Shutdown Cost Small Tourism Businesses Millions (0.99),Small Businesses Created 45 Percent of the New Jobs in June (0.98),Targeted Cyber Attacks Against Small Biz: Chat Recap (0.98),Protecting Small Business Intellectual Property (0.96),A Plug-and-Play Customer Loyalty Program for Small Businesses (0.96)
45,"China Based Huawei Introduces Five New Devices, Eyes U.S. Market",Getting In The Game Puts Your Start Up Investment on the Board (1.34),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00)
