Article,Ankur,Vikas,Ank_AI1,Ank_AI2,Ank_AI3,Ank_AI4,Shwetank,Niranjan,Jairaj
WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers,2,5,2,4,5,2,4,5,4
Getting Your Small Business Started On Yelp,2,2,2,4,5,2,3,5,3
5 Reasons SMBs Need Content Marketing,3,4,4,2,1,4,3,3,3
Here comes Wells Fargo...,5,5,5,2,2,5,4,3,2
"Yelp Will Allow Businesses to Sell Food, Other Services",4,2,2,4,5,2,3,3,5
Curved Smartphones Trend:  G Flex Ready for the U.S.,4,5,2,4,3,3,4,3,2
How Venture Capital Deals Have Changed Since the Great Recession,5,4,5,3,2,1,5,4,5
How To Integrate Your Remote Office Effectively,4,4,4,2,1,4,3,4,2
6 Ways to Create A Positive Brand Perception,3,2,4,2,1,4,3,4,1
How To Keep Customers Loyal With Coupons,3,3,3,1,4,2,3,4,5
The Age of the Platform Will Make You Think,4,3,2,4,5,2,3,1,2
Are You Making Use of These 200+ Content Marketing Tips?,3,3,4,2,1,4,4,1,3
Lawn Care Services Offered on Amazon Soon,3,5,2,4,5,2,4,3,1
HP Announces 8 New Business Tablets,4,2,4,2,1,4,4,5,5
5 Ways Social Media Can Make Your Trade Show A Success,3,2,4,2,1,4,4,3,5
How to Use The Linkedin Mentions Feature to Engage and Connect,3,4,3,1,4,2,4,3,4
"Better Business Bureau Reviews, LinkedIn Apps and More",3,2,2,4,5,2,3,5,5
Loan Approvals Rising at Small Banks and Alternative Lenders,2,5,5,3,2,1,5,3,1
How a Small Business Can Use Big Data,2,3,2,4,5,2,4,3,5
Protecting Small Business Intellectual Property,2,4,2,4,5,2,4,5,4
Odd Lots,3,2,5,2,2,5,5,3,3
Twitter is Playing Favorites With People You Follow,3,2,3,1,4,2,4,3,4
Omnichannel done right: 4 ways to keep the communication in marketingcommunications,3,5,4,2,1,4,4,1,5
The Christmas Conspiracy,5,5,2,4,4,5,3,4,3
Rupee down against dollar,5,2,3,3,3,3,3,5,1
UPS Considers Delivery Drones Too,4,4,2,4,5,2,3,4,2
4 Practical SMB Uses For FourSquare,2,5,4,2,1,4,4,3,2
Insights From Google About How Small Businesses Can Improve Sales,3,2,5,3,2,1,3,4,2
Infosys is using an algorithm to identify its next top-level leaders,5,4,1,5,3,2,4,5,2
When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur,4,5,5,3,2,1,5,4,5
The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start,5,4,2,4,4,5,5,1,2
Entrepreneur Gary Vaynerchuk: From Personal Brand to VC Investor,5,4,3,3,3,3,4,5,1
MyOpenID Will Shut Down in February,3,4,3,1,4,2,4,5,2
Internet Sales Tax Bill May Stall in House of Representatives,2,3,4,2,1,4,3,3,5
5 Ways to Start Building Your Brand Online,3,3,2,4,5,2,3,3,1
Chekkt: A Place To Discover Business Management Software,3,2,2,4,5,2,3,4,5
Tom Byun of Yahoo! Small Business: Making That Next Sale,2,5,4,2,1,4,3,4,4
Your End of Year Legal Checklist,2,3,5,3,2,1,4,1,1
5 Small Business Social Media Mistakes,3,5,2,4,5,2,3,5,2
Apple Will Introduce Two Curved Phones,4,2,4,2,1,4,5,5,3
WitKit Platform Lets Your Team Collaborate in Security,4,2,3,3,3,3,5,1,5
Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program,2,5,5,3,2,1,4,4,5
Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer,3,2,3,3,3,3,5,5,2
"Reed Business Information: Online Sales Manager, LA",3,2,1,2,4,5,3,3,4
P2P Tech Firm CacheLogic Raises $20M in Third Round Funding,5,3,5,5,3,1,3,5,3
Ohio Weighing Major Tax Break For Small Businesses,2,3,2,4,5,2,4,5,2
"Smarter, Faster, Cheaper: A Review",3,2,4,2,1,4,3,4,1
Curved LG G Flex 2 Phablet a Sequel Improving the Original,4,2,3,3,3,3,3,1,1
Euro zone business growth picks up slightly but still muted,5,5,5,3,2,1,4,2,5
Weighing the Pros and Cons of Free City WiFi,4,3,5,5,3,1,3,5,2
Design Advice From Visual Marketing Book,3,3,4,2,1,4,3,3,4
10 things you need to know before the opening bell,5,4,1,2,4,5,3,4,3
"Google Announces Web Designer, Enhancements to DoubleClick",3,3,2,4,5,2,3,5,1
Small Business Guide to Cloud Computing,2,3,4,2,1,4,5,1,2
How to Boost Your Retail Sales Into the New Year,3,3,4,2,1,4,4,4,4
"New Line Cinema: Director, Interactive Marketing, LA",3,3,4,2,1,4,2,4,4
60 Percent of Online Traffic Now Comes From Mobile,4,4,4,2,1,4,3,1,5
LinkedIn Acquires Bizo for a Cool $175 Million,5,2,4,2,1,4,3,2,3
Google Releases Real-Time Reputation Problem,3,3,3,1,4,2,3,5,4
6 Actually-Useful Facebook Apps For SMBs,3,5,4,2,1,4,3,4,1
Why SMB owners should care about SEO,2,2,4,2,1,4,3,1,4
Make Your App Development Easier: Programming JavaScript Applications,4,4,2,4,5,2,5,4,5
How to Create a LinkedIn Profile That Rocks At Generating Leads,4,3,3,3,3,3,3,5,5
How Are Business Books Like Restaurants?,3,4,4,2,1,4,4,5,1
Invisible Capital Reveals The Resources That Builds Success,5,5,2,4,5,2,4,3,1
How best friends turned co-founders are building their dream business,3,4,4,2,1,4,3,4,1
3 Key Business Marketing Trends for 2014,3,2,4,2,1,4,3,5,5
When is the Best Time to Trademark Your Company Name?,3,2,2,4,4,5,4,5,5
How to Use Criminal Background Checks and Not Get Sued,3,5,3,3,3,3,3,1,4
Lenovo A7000 Phablet Offers Super Sound and Little Interference,4,5,3,3,3,3,3,1,3
Angel Investments Since the Economic Downturn,5,2,5,3,2,1,5,4,3
Top Jobs Of The Week In Digital Media And Mobile Content,3,3,4,2,1,4,4,1,4
First Smartphone Anti-Theft Law Could Also Make Reselling Phones Hard,4,4,2,4,4,5,4,5,2
Plastic Preferred: Cash To Decline to Just 23% of Purchases,3,3,2,4,5,2,4,3,1
Who Has the Better Job: Software Developer or Architect?,4,3,2,4,5,2,3,5,3
SurveyMonkey Introduces New Service To Do Employee Surveys,5,2,2,4,5,2,3,4,3
Is Brand Awareness the Number-One Social Media Goal?,3,5,2,4,5,2,3,1,5
Join Me For: Choosing the RIGHT Online Software,4,3,2,4,5,2,3,5,4
4 Ways to Encourage Online Reviews,3,4,4,2,1,4,3,5,3
Nina Yiamsamatha of Foursquare: Future of Global Search is Personalized and Local,4,3,4,2,1,4,4,3,5
28 Webinar Services for Small Business Owners,2,3,4,2,1,4,3,5,3
"The Rumors Are True, Facebook Gets Hashtags",3,5,3,1,4,2,4,5,1
Volvo is quietly becoming a tech superpower,4,3,5,5,3,1,3,4,1
Top Reasons to Incorporate Your Business,2,2,1,3,3,5,5,1,4
Lumiary Lights the Way for Marketing Your Online Business,3,5,4,2,1,4,3,5,4
What is Periscope and How Do I Use It?,4,2,3,1,4,2,4,3,4
10 things you need to know before European markets open,5,2,3,2,1,4,3,5,1
Spotlight: Manage A Gazillion Marketing Platforms with Holonis,3,2,4,2,1,4,4,4,3
Govt's decision to demonetise a retrograde move: Arvind Sanger,3,2,3,3,3,3,2,1,2
12 Blogs Every Small Business Should Be Reading,2,4,4,2,1,4,3,5,3
Franchising And Politics,3,2,2,4,5,2,4,3,1
Seven important triggers that changed your market while you were sleeping,5,3,5,3,2,1,3,5,5
New Dell Tablet Features 3D Camera,4,2,4,2,1,4,4,2,5
"Mashable Raises $13 Million, Its First Ever Outside Investment",4,3,2,4,5,2,3,1,4
"Robust Employment Growth, Just not for the Self-Employed",5,3,3,3,3,3,4,4,3
"Vocus, Provider of PRWeb, Acquires iContact Email Marketing",3,4,4,2,1,4,3,5,3
Small Business Startup: Where To Begin,2,3,2,4,5,2,5,2,2
Indian markets welcome GST but see challenges ahead,5,2,5,5,3,1,4,1,3
Getting Your Business Energy Efficient Before the Holidays,3,2,2,4,5,2,4,2,4
MSFT-YHOO: Links To Coverage Across Our Sites,3,3,3,5,2,2,2,4,2
Enterprise Cloud Services Retooled as Google for Work,4,2,5,5,3,1,3,1,2
A Plug-and-Play Customer Loyalty Program for Small Businesses,3,4,4,2,1,4,3,2,5
A Quick Guide to Local Search to Ease Any Confusion,3,2,2,4,5,2,4,5,3
A dummy's guide to GST,5,5,2,4,5,2,5,5,2
"Samsung Galaxy Note 7 with Reliance Jio subscription could be yours for Rs 59,990",3,4,2,4,3,3,3,5,4
How to Secure and Protect Mobile Devices,4,2,4,2,1,4,4,3,3
SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report,5,2,3,3,3,3,4,3,1
Why We Are Afraid to Talk Pricing,5,2,3,3,3,3,3,2,4
Rock Your Business With These 23 Website Building Tools,2,2,4,2,1,4,3,2,4
Crude palm oil futures remain up on rising demand,5,4,3,3,3,3,4,2,2
Estimated Tax Payments:  Your Questions Answered,4,3,5,3,2,1,4,4,5
Strategic Speed Shows How to Execute Business Strategy Fast and Well,5,4,2,4,5,2,4,4,1
Pinterest Contemplates Sponsored Pins,3,5,4,2,1,4,4,4,3
How to Reinstate a Non-Compliant Business Before the End of the Year,2,3,2,4,5,2,4,5,1
"New Microsoft Office Apps, Smartphone Memory Chip Make Headlines",4,5,2,4,5,2,3,4,3
Twitter Chat: Is Your Brand Helping Or Hurting Your Business?,3,5,2,4,5,2,4,1,3
Facebook Testing New Shareable Ads,3,3,2,4,5,2,3,5,2
Pricing pressure in US biz cyclical in nature: Cadila Health,5,3,1,5,3,2,4,5,1
Nimble CRM Says LinkedIn Lock Out is a Minor Stumbling Block,4,3,4,2,1,4,3,3,5
Could Your Next Pizza be Delivered by a Drone?,4,5,2,4,5,2,3,5,5
"This Hyderabad-based startup aims to aggregate cabs, food and mobile recharge apps",4,4,1,3,3,5,4,5,1
Sun TV Q1 net profit climbs 19% to Rs 233.1 crore,4,4,3,3,3,3,3,4,5
Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop,4,4,3,3,3,3,4,1,2
Read Social Marketology to Create Profitable Social Media Marketing,3,4,4,2,1,4,3,4,2
10 Creative and Efficient Customer Service Solutions,3,5,4,2,1,4,3,5,3
Small Business Employment Share Shrinking for a Good Reason,2,5,2,4,5,2,4,4,1
