,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
32,Mix360 Headset Promises Hi-Fi Experience From Your Smartphone,eBay Plans a New Mobile Ad Network (1.00),Yahoo Opens Its Ad Network to Other Publishers (1.00),IDG Entertainment: Director of Marketing (1.00),"New Line Cinema: Director, Interactive Marketing, LA (1.00)",60 Percent of Online Traffic Now Comes From Mobile (1.00),"Say What? Siri Voicemail Transcription Means Text, Not Talk (1.00)",Simple Loose Leaf Creates Subscription Service for Tea (1.00),Learn Vital Lessons by Entering The Mind of Elite Entrepreneurs (1.00),"TheStreet.com: Marketing Manager, NYC (1.00)",Working at TaxiForSure is fun for sure [Fabulous Workplaces] (1.00)
33,20 Reasons People Unfollow You On Twitter,"Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons (1.01)",11 Ways to Use Twitter To Develop Sales Leads (1.00),Social Customers Means a Social Inbox: Review of Nimble CRM (1.00),Not Sure How to Use LinkedIn for B2B? Let Us Help You (1.00),How to Balance Engagement and Customer Service on Twitter (1.00),4 Ways to Market Your SMB With Flickr (1.00),10 Assets for Using Tech to Keep Your Team on Track (1.00),Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe (1.00),Chris Goward: Affiliate Programs and Conversion Optimization #AMDays (1.00),6 Ways to Create A Positive Brand Perception (1.00)
34,ZenPayroll Could Change the Way You Pay,Do You Trust Your Employees to Work Remotely? (1.01),"Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets (1.00)","Citysearch: Product Manager, LA (1.00)",CorpNet Adds Free Meeting Minutes and Corporate Document Templates (1.00),When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur (1.00),Weighing the Pros and Cons of Free City WiFi (1.00),Join Me For: Choosing the RIGHT Online Software (1.00),MSFT-YHOO: Links To Coverage Across Our Sites (1.00),How to Secure and Protect Mobile Devices (1.00),"New Microsoft Office Apps, Smartphone Memory Chip Make Headlines (1.00)"
35,How millions from the Bangladesh Bank heist disappeared,European shares lifted by solid earnings but RBS slumps (1.00),STOCKS RALLY: Here's what you need to know (1.00),Here come retail sales ... (1.00),The 10 most important things in the world right now (1.00),Here come personal income and spending ... (1.00),Here comes the Baker Hughes rig count ... (1.00),Daily Sprout (1.00),Putin and Erdogan move towards repairing Russia-Turkey ties (1.00),"What to buy, sell and hold (1.00)",Rupee down against dollar (1.00)
36,How the Cloud is Reshaping Small Business Productivity,Small Business Product Launches and Shut Downs (1.00),10 Apps to Assist with Your Small Business Taxes (1.00),Improving Your Community Can Improve Your Business (1.00),Email Erases 9 to 5 at Many Small to Mid-Sized Businesses (1.00),Catch Up With Our Latest Small Business News Recap (1.00),Satanic Latte Art? How Should a Business Respond? (1.00),Small Business Disaster Survival Guide: Get Your Insurance Claims Covered (1.00),Small Business News: Week in Review for July 7 (1.00),Small Business Leads To Better Economy (1.00),How to Turn Your Hobby Into a Business (1.00)
37,How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes,"India orders four maritime spy planes from Boeing, bolsters navy (1.00)",Thanks to TheAppleBlog Sponsors! (1.00),Amazon Introduces New Kindle Fire Tablets (1.00),The 5 best new songs you can stream right now (1.00),The 10 most luxurious first-class plane cabins in the world (1.00),Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores (1.00),Study: 16 Percent of Yelp Reviews May Be Fakes (1.00),Kid Inventors Come Up With Creative Environmental Solutions (1.00),Lawn Care Services Offered on Amazon Soon (1.00),Odd Lots (1.00)
38,5 Benefits of Having a Website for Your Small Business,What Is HTML5? Do I Need It For My Business Website? (1.00),Outsell Yourself: Go From Hello to Sold With Ethical Business and Sales Techniques (1.00),How a Small Business Can Use Big Data (1.00),How Are Business Books Like Restaurants? (1.00),12 Blogs Every Small Business Should Be Reading (1.00),Strategic Speed Shows How to Execute Business Strategy Fast and Well (1.00),Clate Mask of Infusionsoft: $54M Ways Your Small Business Can Benefit (1.00),The Blink Factor: Time Management Can Build or Break Your Business (1.00),10 Online Dangers Your Business Faces (1.00),A Good Sense Of Humor is Great For Your Sense Of Life and Business (1.00)
39,Senate Passes Internet Sales Tax; Bill Moves to House,25 of the Best Cities for Freelancers to Work and Play (1.00),"Robust Employment Growth, Just not for the Self-Employed (1.00)",A dummy's guide to GST (1.00),New Tax Penalty Targets Health Reimbursement Accounts (1.00),"S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant (1.00)",How Do You Feel About Raising the Minimum Wage? (1.00),"Venture Capital Trends: A Shrinking, Evolving Industry (1.00)",Internet Sales Tax Issue Still Lives Despite Activist Claims (1.00),You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this (0.99),"South Dakota, Texas Top List of Best State Tax Systems (0.99)"
40,Is It Time to Change Your Business Structure?,"Fortune 500 Thrives, But Small Businesses Not So Optimistic (1.00)",The Secret to Achieving Resolutions:  Setting Small Goals (1.00),How Much Will the Sequester Cost Small Business Contractors? (1.00),Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program (1.00),Getting Your Business Energy Efficient Before the Holidays (1.00),Reward your Small Business with the Capital One Spark (1.00),Remote Work No Longer a Perk But a Business Imperative (1.00),Study Finds Small Business Loans Key to Startup Success (1.00),"Small Businesses Spend More on Travel, Per Concur Survey (1.00)",Why Small Businesses Have Trouble Getting Credit (1.00)
41,Thanks to TheAppleBlog Sponsors!,How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes (1.00),Amazon Introduces New Kindle Fire Tablets (1.00),The 5 best new songs you can stream right now (1.00),The 10 most luxurious first-class plane cabins in the world (1.00),Study: 16 Percent of Yelp Reviews May Be Fakes (1.00),Kid Inventors Come Up With Creative Environmental Solutions (1.00),Ebay Adds Same Day Delivery In Dallas (1.00),Here's A Brand New Thing You Didn't Know About 'Friends' (1.00),Liquid Soap and Green Tech are Game Changers for This Entrepreneur (1.00),Lawn Care Services Offered on Amazon Soon (1.00)
42,You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this,Angel Investments Since the Economic Downturn (1.00),"Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs (1.00)",Angel Investments Update Since the Economic Downturn (1.00),Employers Say Wellness Programs Work (1.00),Senate Considering New Visa Program To Encourage Tech Startups (1.00),Consumer Attitudes Indicate a New Year with Old Spending Habits (1.00),USPS Cuts Saturday Mail Delivery But Will Continue Package Delivery (1.00),Here's a super-quick guide to what traders are talking about right now (1.00),Bank of England brings down stimulus sledgehammer to beat Brexit blues (1.00),European shares lifted by solid earnings but RBS slumps (0.99)
43,eBay Plans a New Mobile Ad Network,Mix360 Headset Promises Hi-Fi Experience From Your Smartphone (1.00),IDG Entertainment: Director of Marketing (1.00),"New Line Cinema: Director, Interactive Marketing, LA (1.00)","Say What? Siri Voicemail Transcription Means Text, Not Talk (1.00)",Rumors Are Confirmed; Instagram Adds Video (1.00),"Look at Your Phone For Messages? Nope, Look at Your Pebble Smartwatch (1.00)",Simple Loose Leaf Creates Subscription Service for Tea (1.00),"TheStreet.com: Marketing Manager, NYC (1.00)",Working at TaxiForSure is fun for sure [Fabulous Workplaces] (1.00),Local and Ecommerce Merchants Pick Up On Facekini Trend (1.00)
44,"Busted: Hotels.com Caught Buying Links, Apology is Weak",BotBeat: This weeks top botstories (1.00),"RGB, CMYK and PMS Colors Explained (1.00)",How I increased my productivity 1.5x by experimenting with my work schedule (1.00),Our Top Story This Week: A New SBA Administrator is Approved (1.00),Print Photos From Your Phone with the Prynt Smartphone Case (1.00),10 Mindsets of Successful Entrepreneurs (1.00),This African Entrepreneur Creates 3-D Printers Out of E-Waste (1.00),Infusionsoft Announces Mobile Payments and More at ICON15 (1.00),"Yahoo Unveils News Digest, Digital Magazines But Without Clear Niche (1.00)",Minbox Touts Faster Uploads Than Dropbox in Cloud Storage (1.00)
45,"Meet Byju, whos changing the way India learns",Headlining the News This Week: Wix Acquires OpenRest (1.01),Vine: Now You Can Send Video Messages Directly to Friends and Colleagues (1.00),Pinterest Contemplates Sponsored Pins (1.00),Awaken Your Productivity With Fearless At Work (1.00),"Facebook, Yelp Follow FourSquare, Launch Deals (1.00)",9 Holiday Marketing Tips to Make Your Retail Store Stand Out (1.00),Save the Date for a Twitter Chat: Demystifying Data Backup (1.00),Google Improves AdWords Express Program (1.00),10 Food Franchise Technology Tools And Solutions (1.00),Spotlight: Studypool Provides Fast Online Homework Help (1.00)
46,New Google and New Foursquare Offerings Call Attention to Local Business Marketing,What Not to Do When Using Internet on the Go (1.00),10 Tips for Using a Blog to Increase Email List Signups (0.99),When and How to Use Autoresponders (0.99),Want to Learn How to Use Google Plus for Business? Of Course You Do! (0.99),20 Ways to Kick Start Your Motivation Beginning Today (0.99),What NOT to Spend On In Your Startup (0.99),How to Use Evernote to Help You Keep Your Blog Active (0.99),How to Use Criminal Background Checks and Not Get Sued (0.99),"How to Get More Positive Customer Reviews, Using Get Five Stars (0.99)",5 Ways to Avoid BYOD Nightmares (0.99)
