Article,Recommendation
10 phrases in your emails that make you sound unprofessional,"[(0.87, '4 Powerful LinkedIn Tips To Generate Sales'), (0.86, '[Video] The Single Biggest Reason Why Startups Succeed'), (0.86, 'Handmark Acquires UK Mobile Game Maker Astraware'), (0.8, 'Curved Smartphones Trend:  G Flex Ready for the U.S.'), (0.76, 'Will You Jump at the Chance? BlackBerry Leap Pre-orders Begin')]"
Mid-Year Business Review: Risk Management Edition,"[(0.96, 'Survey: 11 Percent of UK Workers Want Flexible Hours'), (0.96, 'Raising Minimum Wage: Next Proposal to Threaten Small Businesses'), (0.96, 'Present Shock: Taking A Moment to Review the Future'), (0.96, '94 Percent of People Think Buying From Small Businesses is Important'), (0.93, 'The Small Business Guide to Getting Ready for Vacation')]"
European shares lifted by solid earnings but RBS slumps,"[(0.98, '8 Daily Steps to Compete Like a Champion'), (0.93, 'Photographer Driven Bananas Over Wikipedia Monkey Selfies'), (0.93, '10 things in tech you need to know today'), (0.89, 'IRS Adopts Taxpayer Bill of Rights'), (0.89, ""Here's the salary you have to earn to buy a home in 19 major US cities"")]"
How to Get Your Products Discovered with Videos,"[(0.94, 'Disqus Introduces Sponsored Comments For Publishers, Brands'), (0.9, 'Barbershop Makes Kids Look Like Senior Citizens for Free'), (0.89, 'Top Jobs Of The Week In Digital Media'), (0.89, 'Amazon Takes Aim at Etsy with Handmade'), (0.88, 'Employers Say Wellness Programs Work')]"
"Court Reverses $338,000 Award for User Generated Content","[(1.0, 'Get Ready: Here Comes Twitter Business Center'), (1.0, 'Federal Gas Tax Could Increase by 15 Cents, More Costs Possible'), (0.96, 'Small Business Loan Approval Drops to 18.8 Percent at Big Banks'), (0.95, 'Twitter Chat: Is Your Brand Helping Or Hurting Your Business?'), (0.95, 'Survey: 11 Percent of UK Workers Want Flexible Hours')]"
25 Free WordPress Plugins for Integrating Google Features,"[(0.98, 'Why Word-of-Mouth Should Be Core to Your Business'), (0.98, 'Top Jobs Of The Week In Digital Media And Mobile Content'), (0.97, 'You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations'), (0.95, 'Are You Making Use of These 200+ Content Marketing Tips?'), (0.94, '3 Steps to Performing Content Marketing on a Shoestring Budget')]"
Small Business Product Launches and Shut Downs,"[(0.97, 'The State of Social Media'), (0.97, 'Teach The Young Entrepreneurs In Your Family With Nacho Money'), (0.97, 'Stop Collecting And Start Engaging With Your Twitter Followers'), (0.97, 'Putting Television in Your Lobby or Place of Business: What you Need to Know'), (0.97, 'Lawton Ursrey of SageOne: Improve Small Business Efficiency')]"
Build your Business Through The Economics of Integrity,"[(0.95, 'Bank of England brings down stimulus sledgehammer to beat Brexit blues'), (0.94, 'Selling In A Skirt Elevates Training for Saleswomen and Salesmen'), (0.94, 'New iPhone May Offer a Mobile Payment Platform'), (0.93, '10 things you need to know in markets today'), (0.92, 'Here comes consumer confidence ...')]"
STOCKS RALLY: Here's what you need to know,"[(1.0, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders'), (0.97, 'European shares steady as firmer banks offset weaker auto stocks'), (0.96, 'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore'), (0.94, 'Ten interesting things that we read this week'), (0.94, 'Gross Fixed Capital Formation Weak at Non-Corporate Businesses')]"
Best Small Business Books,"[(0.94, 'One on One: Michael Wu of Lithium Technologies'), (0.94, 'Franchising: The Importance Of Great Systems Within The System'), (0.94, 'Effective Marketing Includes A Return On Influence'), (0.92, 'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business'), (0.92, 'Getting Comfortable With Self-Promotion')]"
What Is HTML5? Do I Need It For My Business Website?,"[(1.0, 'The Kodak Pixpro SP360 Sports a 360 Degree Camera'), (1.0, 'Google Announces Web Designer, Enhancements to DoubleClick'), (1.0, 'Adobe Acquires Fotolia for $800 Million'), (1.0, '7 Best Business Books for Summer Reading'), (0.97, 'Tech Startup Viddler is a Hometown Success Story')]"
10 Apps to Assist with Your Small Business Taxes,"[(0.97, 'Your New Year Small Business Checklist'), (0.94, 'How to Get a Startup Visa Act Passed'), (0.94, 'Are You Guilty of Committing the Top Incorporation Mistakes?'), (0.93, 'Will the Dependent Coverage Provision Raise Insurance Premiums?'), (0.92, 'Top 4 Health Insurance Trends for Small Businesses')]"
Evernote Coming Out With New App Just for Businesses,"[(0.95, 'Top Jobs Of The Week In Digital Media'), (0.95, 'Amazon Takes Aim at Etsy with Handmade'), (0.9, '15 meeting etiquette rules every professional needs to know'), (0.87, 'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop'), (0.86, 'Small Business Disaster Survival Guide: Get Your Insurance Claims Covered')]"
Facebook Wants Your Businesses On Messenger,"[(0.96, 'Time and Expense Tracking Apps: 27 Solutions'), (0.96, 'Small Business News: Tips For Your Next Venture'), (0.96, 'How to Win Media Coverage as an SMB'), (0.96, 'Google Increases Transparency Around Click Fraud'), (0.96, 'Getting Your Small Business Started On Yelp')]"
"5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania","[(0.91, 'iPad Losing to More Affordable Tablets'), (0.87, 'The Hiring Roadmap We Advise for All Our Portfolio Startups'), (0.83, 'A 101 Guide To Building Your Personal Brand'), (0.82, 'YouTube Adds Google Plus Type Comments'), (0.82, 'The Island Approach: Which Are the Best Credit Cards for Small Business?')]"
"India orders four maritime spy planes from Boeing, bolsters navy","[(0.85, 'Samsung Galaxy Note 7 with Reliance Jio subscription could be yours for Rs 59,990'), (0.82, 'Idea Cellular posts 74 percent drop in first quarter profit'), (0.81, 'Small Businesses Spend More on Travel, Per Concur Survey'), (0.8, 'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers'), (0.8, 'Improving Your Community Can Improve Your Business')]"
"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC","[(0.93, 'Pricing pressure in US biz cyclical in nature: Cadila Health'), (0.89, 'New Details Starting to Emerge About the Latest MacBook Air'), (0.86, 'Tech Startup Viddler is a Hometown Success Story'), (0.86, 'Spotlight: Margaritas Restaurant Brings Mexican Culture to New England'), (0.86, 'Personal task management startup dunzo raises $650K funding from Blume Ventures and Aspada')]"
Adobe Acquires Fotolia for $800 Million,"[(1.0, 'What Is HTML5? Do I Need It For My Business Website?'), (1.0, 'The Kodak Pixpro SP360 Sports a 360 Degree Camera'), (1.0, 'Google Announces Web Designer, Enhancements to DoubleClick'), (1.0, '7 Best Business Books for Summer Reading'), (0.97, 'Tech Startup Viddler is a Hometown Success Story')]"
"Brands Doing More Content Marketing with Less Return, TrackMaven Says","[(0.97, 'How to Create DIY Professional Quality Writing for Your Small Business'), (0.97, '68 E-Commerce and Shopping Carts for the Small Business'), (0.97, '10 Creative and Efficient Customer Service Solutions'), (0.95, 'You Can Use LinkedIn As a Landing Page and Facebook For Blogging'), (0.94, 'Ten Approaches That May Shape the Future of eCommerce')]"
You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations,"[(1.01, 'Why Word-of-Mouth Should Be Core to Your Business'), (1.01, 'Top Jobs Of The Week In Digital Media And Mobile Content'), (0.98, 'Are You Making Use of These 200+ Content Marketing Tips?'), (0.97, '3 Steps to Performing Content Marketing on a Shoestring Budget'), (0.97, '25 Free WordPress Plugins for Integrating Google Features')]"
10 things you need to know in markets today,"[(0.98, 'Selling In A Skirt Elevates Training for Saleswomen and Salesmen'), (0.96, 'Bank of England brings down stimulus sledgehammer to beat Brexit blues'), (0.95, 'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA'), (0.95, ""How 2 of the world's most powerful and dangerous drug lords compare""), (0.93, 'Build your Business Through The Economics of Integrity')]"
FCC Decision on Net Neutrality Coming Soon,"[(0.91, 'SurveyMonkey Introduces New Service To Do Employee Surveys'), (0.91, 'Google Makes Business Photos Self-Service'), (0.9, 'What Are Sunk Costs?'), (0.9, '11 Tips for Using Images on Twitter'), (0.89, '20 Ways to Kick Start Your Motivation Beginning Today')]"
How to Market Your Business on Twitter Like a Pro,"[(0.96, 'Are You Ready to Start a Small Business?'), (0.96, 'Are You Operating Your Business in Multiple States? What You Need to Know'), (0.95, 'Survey: 11 Percent of UK Workers Want Flexible Hours'), (0.95, 'Small Businesses Spend More on Travel, Per Concur Survey'), (0.95, 'Raising Minimum Wage: Next Proposal to Threaten Small Businesses')]"
The Secret to Achieving Resolutions:  Setting Small Goals,"[(0.96, 'Building Trust: 5 Tips to Establish Your Credibility for Business'), (0.96, 'Amazon Offers Comparable Tablet Cheaper Than iPad Air'), (0.95, 'Amazon Adds Sunday Delivery with Help from U.S. Postal Service'), (0.91, 'Who Has the Better Job: Software Developer or Architect?'), (0.91, 'On the Long Road to Economic Recovery? You Decide')]"
11 Ways to Use Twitter To Develop Sales Leads,"[(0.96, 'Why Word-of-Mouth Should Be Core to Your Business'), (0.96, 'Top Jobs Of The Week In Digital Media And Mobile Content'), (0.96, 'Nokia Introduces Asha Smartphones Beginning at Just $69'), (0.95, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.95, 'Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects')]"
"Jupitermedia: Media Analyst, NYC","[(0.92, 'Rs 5000 to Rs 5 crore: An Indore boys graduation from a hacker to an entrepreneur'), (0.87, 'IDG Entertainment: Director of Marketing'), (0.87, 'How to Create a LinkedIn Company Page That Drives Sales'), (0.87, '20 Free Social Media Monitoring Tools You Should be Using'), (0.86, 'What NOT to Spend On In Your Startup')]"
Better Online Marketing Optimization Through Google Analytics: A Book Review,"[(1.0, 'Ever Wonder How to Build a Business as a Personal Stylist?'), (0.96, 'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business'), (0.96, 'Getting Comfortable With Self-Promotion'), (0.96, 'Advantages of Using eCommerce Software in Your Retail Business'), (0.96, '10 Ways to Save Money for Your Business')]"
Is Your Small Business Marketing to Hispanic Consumers?,"[(1.01, '6 Benefits of Social Media for Small Businesses'), (1.0, '25 Businesses You Can Start for Less Than $100'), (0.95, 'Read Digital Dollar to Get Your Online Strategy in Gear'), (0.95, '10 Tips for Using a Blog to Increase Email List Signups'), (0.93, 'Odd Lots')]"
Improving Your Community Can Improve Your Business,"[(1.0, 'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers'), (1.0, 'Small Businesses Spend More on Travel, Per Concur Survey'), (0.98, 'Spotlight: Helena Tubridy Uses Hypnotherapy to Treat Infertility'), (0.97, 'Fortune 500 Thrives, But Small Businesses Not So Optimistic'), (0.96, 'Protecting Small Business Intellectual Property')]"
Sauca Foods:  New Flair for the Food Truck Trend,"[(0.89, 'Twitter Attack Caused Thousands to Retweet a Single Message'), (0.89, '13 Creative Ways to Use LinkedIn for Lead Generation'), (0.88, 'MyOpenID Will Shut Down in February'), (0.88, '20 Reasons People Unfollow You On Twitter'), (0.86, '5 Ways To Turn Up the Volume With Twitter')]"
Mompreneur Launches $3 Million Business Selling Superhero Capes,"[(0.96, 'Cardamom futures remain up on rising demand'), (0.96, '13 Best Practices for Building Solid Small Business Operations'), (0.95, 'Putin and Erdogan move towards repairing Russia-Turkey ties'), (0.95, 'CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain'), (0.92, 'This One Quality Can Make or Break Your Social Media Campaigns')]"
Going Mobile: Does Your Small Business Need an App?,"[(1.0, 'Manta Business Directory Upgrades to Help You Get Discovered'), (1.0, 'Learn How to Improve Online Marketing: Performance Marketing With Google Analytics'), (1.0, 'Clate Mask of Infusionsoft: $54M Ways Your Small Business Can Benefit'), (1.0, '5 Ways to Run Effective Facebook Ads at Different Stages'), (1.0, '2 Important Things to Know About Viral Videos')]"
HP Reinventing Traditional Computers With Mini Desktop PC,"[(0.98, 'Barbershop Makes Kids Look Like Senior Citizens for Free'), (0.95, 'Top Jobs Of The Week In Digital Media'), (0.95, 'How to Use Criminal Background Checks and Not Get Sued'), (0.93, 'Employers Say Wellness Programs Work'), (0.87, 'Disqus Introduces Sponsored Comments For Publishers, Brands')]"
Are You Being Too Nice for Your Own Good?,"[(0.95, 'Focused Leadership Teaches Leadership Lessons That Can Make Your Day'), (0.92, 'Run Your Biz Like a Machine With These WordPress Plugins, Resources and Tips'), (0.92, 'Mashable Raises $13 Million, Its First Ever Outside Investment'), (0.91, 'Sleeping With Your Smartphone Makes Productivity and Life Balance Possible'), (0.89, '5 Surprising Mobile Search Statistics and Facts')]"
Victoria's Secret supermodel reveals everything she eats in a day,"[(0.91, 'This One Quality Can Make or Break Your Social Media Campaigns'), (0.91, 'This Coffee Shop is Selling More Than Just Coffee'), (0.9, 'The 20 best smartphones in the world'), (0.89, 'Mompreneur Launches $3 Million Business Selling Superhero Capes'), (0.89, 'Amazon Launches a Phone! Fire Has a Scan and Buy Feature')]"
Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium,"[(0.95, 'Why Google Is Taking a $9.5 Billion Hit on Selling Motorola to Lenovo'), (0.86, 'Local Marketing and the Google Pigeon Update'), (0.84, 'Microsoft Now 5th Largest Tablet Seller, Propelled by Upbeat Ad'), (0.84, 'Internet Explorer Remains Dominant Browser'), (0.83, 'Solar Powered Startup Provides Protection Against Lion Attacks')]"
Hacking of Google Maps May Have Killed This Business,"[(1.0, 'New Study Helps SMB Owner Analyze Local Search Data'), (0.98, 'Pinterest Marketing Tool Discover Can Give Better View of Your Brand'), (0.97, 'What is a Hashtag? And What Do You Do With Hashtags?'), (0.97, 'Black Business Secrets Offers Tips to a New Generation of African American Entrepreneurs'), (0.95, 'Manta Business Directory Upgrades to Help You Get Discovered')]"
Metrics Overload? How to Streamline Marketing Data,"[(0.94, 'The Evolution of Affiliate Marketing'), (0.94, 'Read Impact Equation to Help You Harness Your Social Media Message'), (0.92, 'Here come personal income and spending ...'), (0.92, 'Bright Light Helps Market Products, But Makes Decisions More Emotional'), (0.89, 'Yelp Reviews Out of Google Places. What Else Ya Got?')]"
Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation,"[(1.02, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market'), (1.0, 'The Referral Engine: Teaching Your Business to Market Itself'), (0.97, 'Headlining the News This Week: Wix Acquires OpenRest'), (0.96, 'eBay Warns Users to Change Passwords After Attack Compromised Files'), (0.96, 'Tom Byun of Yahoo! Small Business: Making That Next Sale')]"
IRS Adopts Taxpayer Bill of Rights,"[(0.95, 'Photographer Driven Bananas Over Wikipedia Monkey Selfies'), (0.92, 'The Daily Sprout'), (0.91, ""Here's the salary you have to earn to buy a home in 19 major US cities""), (0.89, 'European shares lifted by solid earnings but RBS slumps'), (0.87, 'Marijuana Businesses Offer Opportunities, But Also Risks')]"
Vine: Now You Can Send Video Messages Directly to Friends and Colleagues,"[(0.98, '25 Tips for Using Instagram in Your Business'), (0.97, 'Tom Byun of Yahoo! Small Business: Making That Next Sale'), (0.97, 'The Best Business Dashboard Apps For Small Businesses'), (0.97, 'New Google and New Foursquare Offerings Call Attention to Local Business Marketing'), (0.97, 'Effective Websites for Small Businesses: A Review')]"
4 Real Reasons to Care About Google Place Pages,"[(1.0, 'Lumiary Lights the Way for Marketing Your Online Business'), (0.97, 'Vocus, Provider of PRWeb, Acquires iContact Email Marketing'), (0.97, 'Tom Byun of Yahoo! Small Business: Making That Next Sale'), (0.97, 'The Best Business Dashboard Apps For Small Businesses'), (0.97, 'Raise and Re-Energize Your Business Metabolism')]"
Why Employees Are Always A Bad Idea: A Review,"[(0.96, 'Wix, the Freemium Website Building Platform, Is Growing Like Gangbusters'), (0.96, 'New Microsoft Office Apps, Smartphone Memory Chip Make Headlines'), (0.93, 'FAA Changes Rules on Electronic Devices in Flight'), (0.92, 'New Microsoft Surface 2 Tablets Have Arrived'), (0.92, 'Building Trust: 5 Tips to Establish Your Credibility for Business')]"
Social Customers Means a Social Inbox: Review of Nimble CRM,"[(1.0, 'Improve Social Selling with These Top Tools and Platforms'), (0.88, '20 Reasons People Unfollow You On Twitter'), (0.87, 'eBay Plans a New Mobile Ad Network'), (0.87, 'How to Use The Linkedin Mentions Feature to Engage and Connect'), (0.82, 'Twitter Attack Caused Thousands to Retweet a Single Message')]"
10 Things You Need To Do After Forming An LLC,"[(0.82, 'Texas Hair Braiding Law Struck Down in Court Decision'), (0.82, 'Green Packaging Solutions: Pizza Box With Built-In Paper Plates'), (0.82, 'Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way'), (0.82, 'Cicret Could Turn Your Skin Into a Smartphone Display'), (0.82, 'Amazon, Quikr, Ebay, Snapdeal involved in wildlife trade: Govt')]"
Mix360 Headset Promises Hi-Fi Experience From Your Smartphone,"[(0.95, 'This curry stained Indian should be beaten and hanged: Shiva Ayyadurai on inventing email and the backlash that followed'), (0.95, 'New Asus Android Tablet Will Retail for Under $150'), (0.93, 'Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections'), (0.91, 'Sustainable Startups Using Technology to Make Use of Food Waste'), (0.91, 'BotBeat: This weeks top botstories')]"
20 Reasons People Unfollow You On Twitter,"[(0.93, 'Crafting A Killer About Page'), (0.92, 'Google Releases Real-Time Reputation Problem'), (0.88, 'Social Customers Means a Social Inbox: Review of Nimble CRM'), (0.88, 'Sauca Foods:  New Flair for the Food Truck Trend'), (0.88, 'Improve Social Selling with These Top Tools and Platforms')]"
ZenPayroll Could Change the Way You Pay,"[(1.0, 'Zapier Zaps Your Data from One App to Another With One Click'), (1.0, 'UPS Considers Delivery Drones Too'), (1.0, 'New York Times Hacked Via Crafty Phishing Attack'), (1.0, 'Microsoft Temporarily Cuts the Price on the Surface 2'), (1.0, '7 Ways to Get More From Social Media in 2010')]"
How millions from the Bangladesh Bank heist disappeared,"[(0.93, 'First Smartphone Anti-Theft Law Could Also Make Reselling Phones Hard'), (0.91, 'Culture, Career Development and Networking Blend in Black Faces In White Places'), (0.89, 'Senate Considering New Visa Program To Encourage Tech Startups'), (0.88, 'This Hyderabad-based startup aims to aggregate cabs, food and mobile recharge apps'), (0.86, '25 of the Best Cities for Freelancers to Work and Play')]"
How the Cloud is Reshaping Small Business Productivity,"[(1.0, 'SoundCloud Introduces Program to Share Revenue with Artists'), (1.0, 'Purchase by Commenting on Instagram with Spreesy'), (1.0, 'Microsoft Drops Price of Surface Pro Tablets, Too'), (1.0, 'A Quick Guide to Local Search to Ease Any Confusion'), (0.97, 'The Creative Small Business and 4 Ways to Get There')]"
How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes,"[(0.96, 'Angel Investments Update Since the Economic Downturn'), (0.94, 'Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu'), (0.94, '4 Lessons The Shifting Legal Sector Can Teach Small Business Owners'), (0.9, 'The Bengal Famine: How the British engineered the worst genocide in human history for profit'), (0.86, 'This New Online Tool Creates a Picture of Your Cash Flow')]"
5 Benefits of Having a Website for Your Small Business,"[(1.0, 'Week In Review: Small Business Saturday, Twitter Experiments and More'), (1.0, 'Small Business News: Week in Review for July 7'), (1.0, 'New LG Smartphone Added to the G3 Line Has a Stylus Pen'), (1.0, '5 Internet Marketing Trends for SMBs to Watch in 2012'), (0.96, 'Profit Sharing Surprise: Lenovo CEO Shares Bonus with Employees')]"
CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain,"[(1.0, 'Putin and Erdogan move towards repairing Russia-Turkey ties'), (0.95, 'Mompreneur Launches $3 Million Business Selling Superhero Capes'), (0.91, 'Why I Linked Out on LinkedIn'), (0.91, 'The Project Champion: A Management Best Practice'), (0.89, 'Reward your Small Business with the Capital One Spark')]"
"New Apple iPad Thinner, Lighter But Still $499","[(1.0, 'Using the Law of Attraction to Create the Company You Want'), (1.0, 'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses'), (1.0, 'Pinterest Contemplates Sponsored Pins'), (0.98, '5 Essential Social Sharing Buttons for Your Site'), (0.97, 'Who Should You Follow on Twitter?')]"
Senate Passes Internet Sales Tax; Bill Moves to House,"[(1.01, 'Book Review: The Constant Contact Guide to Email Marketing'), (0.98, 'What Google+ Local Pages Means to Your Business'), (0.98, 'Smarter, Faster, Cheaper: A Review'), (0.98, '6 Ways to Create A Positive Brand Perception'), (0.97, 'Xero Sees 200 Percent Increase in U.S. Customers, Adds New Leadership')]"
Quantify Lets You Shop For Your Next Business Consultant Online,"[(0.97, 'How to Use Evernote to Help You Keep Your Blog Active'), (0.96, 'Picking Winning Keywords For Your SMB Site'), (0.96, 'Customer Relations Blunder? Google Causes Stir Over Easter Doodle'), (0.92, 'How to Turn Around a Bad Review Online Successfully'), (0.88, 'Homeless Man Learns Coding, Launches App')]"
Is It Time to Change Your Business Structure?,"[(0.97, 'What New Opportunities Does Android Wear Offer for Entrepreneurs?'), (0.97, 'How Cloud Computing Can Help You Scale Your Business'), (0.97, 'Getting Your Business Energy Efficient Before the Holidays'), (0.93, 'Twitter Accidentally Sends Out Thousands of Reset Notices'), (0.93, 'Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement')]"
Thanks to TheAppleBlog Sponsors!,"[(0.63, 'Senate Considering New Visa Program To Encourage Tech Startups'), (0.63, 'MSFT-YHOO: Links To Coverage Across Our Sites'), (0.57, 'Texas Hair Braiding Law Struck Down in Court Decision'), (0.57, 'Amazon, Quikr, Ebay, Snapdeal involved in wildlife trade: Govt'), (0.57, '15 Ways to Avoid Bad Online Reviews')]"
How to Leverage Infographics for B2B Marketing,"[(1.0, 'Vocus, Provider of PRWeb, Acquires iContact Email Marketing'), (1.0, 'Raise and Re-Energize Your Business Metabolism'), (1.0, 'How to Create DIY Professional Quality Writing for Your Small Business'), (1.0, '68 E-Commerce and Shopping Carts for the Small Business'), (1.0, '4 Ways to Encourage Online Reviews')]"
Zapier Zaps Your Data from One App to Another With One Click,"[(1.0, 'ZenPayroll Could Change the Way You Pay'), (1.0, 'Microsoft Temporarily Cuts the Price on the Surface 2'), (0.98, 'Ebay Adds Same Day Delivery In Dallas'), (0.97, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.97, 'How Do I Update WordPress Plugins Automatically?')]"
How Cloud Computing Can Help You Scale Your Business,"[(0.97, 'Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement'), (0.97, 'Tipping the Odds for the Entrepreneur'), (0.97, 'Is It Time to Change Your Business Structure?'), (0.95, 'What New Opportunities Does Android Wear Offer for Entrepreneurs?'), (0.95, 'Getting Your Business Energy Efficient Before the Holidays')]"
You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this,"[(1.0, 'European shares steady as firmer banks offset weaker auto stocks'), (0.97, 'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders'), (0.97, 'Gross Fixed Capital Formation Weak at Non-Corporate Businesses'), (0.94, 'Yahoo: Director Product Management, Yahoo! Finance, Sunnyvale, CA'), (0.92, 'Ten interesting things we read this week')]"
On the Long Road to Economic Recovery? You Decide,"[(0.96, 'New Microsoft Surface 2 Tablets Have Arrived'), (0.96, 'Building Trust: 5 Tips to Establish Your Credibility for Business'), (0.95, 'UPS Considers Delivery Drones Too'), (0.95, 'New York Times Hacked Via Crafty Phishing Attack'), (0.95, 'Amazon Adds Sunday Delivery with Help from U.S. Postal Service')]"
eBay Plans a New Mobile Ad Network,"[(1.02, 'MyOpenID Will Shut Down in February'), (0.99, 'The Rumors Are True, Facebook Gets Hashtags'), (0.98, 'Google Knocks $100 Off Nexus 4'), (0.92, 'The ultimate master list of revenue models used by Web and Mobile companies'), (0.9, '5 Ways To Turn Up the Volume With Twitter')]"
"Busted: Hotels.com Caught Buying Links, Apology is Weak","[(1.0, 'Time is Money: Are You and Your Employees Effectively Managing It?'), (1.0, 'Spring Clean Your Small Business, Twitter Chat Recap'), (1.0, '5 Ways to Start Building Your Brand Online'), (1.0, '5 Ways to Avoid BYOD Nightmares'), (0.97, 'Lawn Care Services Offered on Amazon Soon')]"
