,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
10,STOCKS RALLY: Here's what you need to know,"b""STOCKS GO NOWHERE: Here's what you need to know"" (0.95)","b""STOCKS RISE: Here's what you need to know"" (0.93)",b'10 things you need to know before the opening bell' (0.91),b'Five Things You Need to Know to Start Your Day' (0.91),"b""STOCKS FALL: Here's what you need to know"" (0.91)",b'The 10 things in advertising you need to know today' (0.89),b'15 meeting etiquette rules every professional needs to know' (0.87),b'10 things in tech you need to know today' (0.86),b'100 movies on Netflix that everyone needs to watch in their lifetime' (0.82),b'Mobile Payments are Exploding: What You Need to Know as a Retailer' (0.74)
11,Best Small Business Books,"b'Small Business Book Awards: Nominate Through March 3, 2013' (0.94)",b'The Commitment Engine Inspires Small Business Growth' (0.76),b'Small Business Leads To Better Economy' (0.70),b'The Island Approach: Which Are the Best Credit Cards for Small Business?' (0.70),b'Review: Samsung Chromebook for Your Small Business' (0.70),b'Are You Blogging for Your Small Business?' (0.69),b'How Are Business Books Like Restaurants?' (0.67),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.67),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.67),b'5 Benefits of Having a Website for Your Small Business' (0.66)
12,What Is HTML5? Do I Need It For My Business Website?,b'Mobile Payments are Exploding: What You Need to Know as a Retailer' (0.72),b'Are You Operating Your Business in Multiple States? What You Need to Know' (0.66),"b""STOCKS GO NOWHERE: Here's what you need to know"" (0.63)",b'Going Mobile: Does Your Small Business Need an App?' (0.61),"b""STOCKS RISE: Here's what you need to know"" (0.61)","b""STOCKS FALL: Here's what you need to know"" (0.60)","b""STOCKS RALLY: Here's what you need to know"" (0.58)",b'100 movies on Netflix that everyone needs to watch in their lifetime' (0.58),b'The 10 things in advertising you need to know today' (0.56),b'10 things you need to know before the opening bell' (0.54)
13,10 Apps to Assist with Your Small Business Taxes,b'The Best Business Dashboard Apps For Small Businesses' (0.86),b'The Island Approach: Which Are the Best Credit Cards for Small Business?' (0.78),b'Is the S Corp Right for Your Small Business?' (0.69),b'Ohio Weighing Major Tax Break For Small Businesses' (0.68),b'5 Things You May not Know about Small Business Taxes' (0.68),b'Bigcommerce Increases Reach Into Small Business Commerce' (0.67),b'eBay Opposes Legislation Imposing New Taxes and Regulatory Burdens on Small Businesses' (0.65),b'Small Businesses Divided on Internet Sales Tax' (0.64),b'An Update on the Greater Opportunities for Small Business Act' (0.63),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.63)
14,Facebook Wants Your Businesses On Messenger,b'Business By Miles: Automate Your Business All in a Single System' (0.71),b'TaskRabbit Switches Business Models' (0.67),b'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business' (0.65),b'Manta Business Directory Upgrades to Help You Get Discovered' (0.64),b'When to Give Business Gifts and Who to Give Them to' (0.61),b'Why Word-of-Mouth Should Be Core to Your Business' (0.61),b'How to Create a Facebook Page for Your New Business' (0.61),b'LinkedIn Introduces Showcase Pages for Business' (0.60),b'Get It Together! Consolidate Your Business Systems' (0.59),"b'Yelp Will Allow Businesses to Sell Food, Other Services' (0.59)"
15,"5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania",b'Birth to re-birth: The man who made Savita Bhabhi' (0.77),b'Read Adaptability and Learn to Thrive in Any Environment' (0.73),b'How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes' (0.67),b'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders' (0.63),"b'Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons' (0.63)",b'5 lessons from the Bhagvad Gita for every entrepreneur' (0.61),b'The Art of Pricing' (0.59),"b'[Techie Tuesdays] A tribute to Humblefool, the best coder that ever lived in India' (0.57)",b'Photographer Driven Bananas Over Wikipedia Monkey Selfies' (0.54),b'Texas Hair Braiding Law Struck Down in Court Decision' (0.53)
16,"India orders four maritime spy planes from Boeing, bolsters navy",b'War of Words: Reliance Jios free-data-for-three-months plan under attack' (0.77),b'Oil prices fall on oversupply concerns despite output cuts' (0.76),"b'After bruising China battle, Uber cedes to rival Didi' (0.75)",b'Cardamom futures remain up on rising demand' (0.72),"b'Copper futures rise on global cues, spot demand' (0.72)",b'Idea Cellular posts 74 percent drop in first quarter profit' (0.72),b'Crude oil futures fall on weak Asian cues' (0.71),b'Sun TV Q1 net profit climbs 19% to Rs 233.1 crore' (0.70),b'Chinese yuan strengthens' (0.70),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.70)
17,Adobe Acquires Fotolia for $800 Million,b'Apple Pays $200 Million for Topsy' (0.76),b'WitKit Platform Lets Your Team Collaborate in Security' (0.73),b'Rumors Are Confirmed; Instagram Adds Video' (0.70),"b'Mashable Raises $13 Million, Its First Ever Outside Investment' (0.62)",b'WhatsApp Messaging Service Reaches 400 Million Active Users' (0.62),b'How millions from the Bangladesh Bank heist disappeared' (0.60),"b'SBA Fund Adds Manufacturing, Lifts $200 Million Limit' (0.60)","b'Look at Your Phone For Messages? Nope, Look at Your Pebble Smartwatch' (0.58)",b'Go Daddy CEO Steps Down' (0.58),"b'Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs' (0.56)"
18,FCC Decision on Net Neutrality Coming Soon,b'Here come ADP private payrolls ...' (0.91),b'Here come initial jobless claims ...' (0.90),b'Here comes the Baker Hughes rig count ...' (0.88),b'Here come retail sales ...' (0.87),b'Here comes consumer confidence ...' (0.87),b'Here comes the jobs report ...' (0.86),b'Here come personal income and spending ...' (0.83),b'Here comes industrial production ...' (0.81),b'With great stardom comes great stress  learn how to de-stress from your favourite celebrities and leaders' (0.76),b'Kid Inventors Come Up With Creative Environmental Solutions' (0.75)
19,How to Market Your Business on Twitter Like a Pro,b'10 Twitter Blunders Businesses Should Avoid' (0.83),b'10 Reasons to Boost Your Twitter Presence' (0.75),b'5 Tools to Research the Demographics of Your Twitter Followers' (0.75),b'Who Should You Follow on Twitter?' (0.74),b'20 Reasons People Unfollow You On Twitter' (0.72),b'Twitter Chat: Is Your Brand Helping Or Hurting Your Business?' (0.72),b'Twitter is Playing Favorites With People You Follow' (0.68),b'Save the Date for a Twitter Chat: Demystifying Data Backup' (0.66),b'You Should Consider These Things When Choosing Who To Follow On Twitter' (0.65),b'Bing Gives Twitter Results Including Hashtags and Handles' (0.65)
20,The Secret to Achieving Resolutions:  Setting Small Goals,b'Small Business Wellness Programs and Return On Investment (ROI)' (0.75),b'Top 4 Health Insurance Trends for Small Businesses' (0.71),b'4 Lessons The Shifting Legal Sector Can Teach Small Business Owners' (0.66),b'How Health Care Reform Changes Impact the Small Business Owner' (0.66),b'Small Business Groups Offer Mixed Reaction to Obama Budget' (0.66),b'How the IRS Scandal Might Benefit Small Business' (0.65),b'Small Business Employment Share Shrinking for a Good Reason' (0.64),b'Small Business Optimism: Status Quo or Cautious Optimism?' (0.63),b'Small Business Leads To Better Economy' (0.62),b'85 Percent of Small Businesses Get Customers Through Word of Mouth' (0.58)
21,11 Ways to Use Twitter To Develop Sales Leads,b'13 Creative Ways to Use LinkedIn for Lead Generation' (0.83),b'5 Ways To Turn Up the Volume With Twitter' (0.72),b'12 Ways You Can Use LinkedIn for Branding to Stand Out' (0.71),b'Omnichannel done right: 4 ways to keep the communication in marketingcommunications' (0.61),b'11 Tips for Using Images on Twitter' (0.59),b'22 Ways to Renew Your Spirit and Get Your Mojo Back' (0.58),b'21 Often-Overlooked Ways to Generate Leads Online' (0.57),b'3 Ways to Perform SEO on a Shoestring Budget' (0.56),b'4 Practical SMB Uses For FourSquare' (0.55),b'When and How to Use Autoresponders' (0.54)
22,Improving Your Community Can Improve Your Business,b'TaskRabbit Switches Business Models' (0.83),b'Why Word-of-Mouth Should Be Core to Your Business' (0.78),b'When to Give Business Gifts and Who to Give Them to' (0.70),b'Oakland Program Helps Underprivileged Youth Start Businesses' (0.64),b'The Gen Y Handbook: Talking Business With Millennials' (0.60),b'How a Meetup Group Led a Mompreneur to Launch a Business' (0.59),b'Satanic Latte Art? How Should a Business Respond?' (0.58),b'Manta Business Directory Upgrades to Help You Get Discovered' (0.58),b'15 Power Foods To Boost Your Business' (0.57),b'Build your Business Through The Economics of Integrity' (0.56)
23,Sauca Foods:  New Flair for the Food Truck Trend,b'Spotlight: Margaritas Restaurant Brings Mexican Culture to New England' (0.83),b'New Business Trend: Pricey Play Date Consultants' (0.82),b'Consumer Attitudes Indicate a New Year with Old Spending Habits' (0.78),b'New Asus Android Tablet Will Retail for Under $150' (0.74),b'HP Announces 8 New Business Tablets' (0.71),b'New Amazon Kindles Will Be More Like Tablets' (0.70),b'Rs 1 Cr sales in four months  how a software engineer is giving Mandyas debt-ridden farmers a new lease of life' (0.70),b'Retail Trends:  The Eyes Have It' (0.66),b'Amazon Introduces New Kindle Fire Tablets' (0.65),b'New Verizon SpeedMatch Program Will Boost Upload Speeds on FIOS' (0.64)
24,Mompreneur Launches $3 Million Business Selling Superhero Capes,b'How a Meetup Group Led a Mompreneur to Launch a Business' (0.91),b'Entrepreneurial Monks Launch Brewery to Keep the Abbey Open' (0.80),b'Stay At Home Mom Launched $24 Million Franchise in her Living Room' (0.77),"b'North Korea Missile Launches, Nuclear Detonations: Timeline' (0.74)","b'Yelp Will Allow Businesses to Sell Food, Other Services' (0.70)","b'Reliance Jio is yet to be launched, but is already breaking rules' (0.60)",b'LG Launching G4 Flagship Phone and One for Doodling' (0.58),"b'Facebook, Yelp Follow FourSquare, Launch Deals' (0.58)",b'How an MBA grad became a marketplace millionaire by selling umbrellas' (0.54),b'Amazon Launches a Phone! Fire Has a Scan and Buy Feature' (0.54)
25,Going Mobile: Does Your Small Business Need an App?,b'How to Create a Mobile Office for Your Small Business' (0.78),b'The Best Business Dashboard Apps For Small Businesses' (0.68),b'Mobile Payments are Exploding: What You Need to Know as a Retailer' (0.66),b'10 Apps to Assist with Your Small Business Taxes' (0.62),b'What Is HTML5? Do I Need It For My Business Website?' (0.61),"b'Quip Allows Mobile Word Processing, Collaboration' (0.61)",b'Speed Up Your Mobile Browsing with Dolphin' (0.60),b'HP Officejet Pro 8630 Takes Business Printing Mobile' (0.56),b'5 Points to Remember About Mobile SEO' (0.55),b'5 Surprising Mobile Search Statistics and Facts' (0.55)
26,HP Reinventing Traditional Computers With Mini Desktop PC,b'HTC Announces UH OH Protection for When an Oopsie Occurs' (0.86),b'Microsoft Temporarily Cuts the Price on the Surface 2' (0.84),b'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop' (0.83),b'ONvocal Unveils Mix360 Noise Cancelling Headphones' (0.83),b'Lenovo A7000 Phablet Offers Super Sound and Little Interference' (0.82),"b'Will We Soon See a Color Kindle E-Reader, Instead of Black and White?' (0.81)","b'Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets' (0.80)",b'Sony Unveils Xperia Z3 Flagship Phone' (0.80),b'Call+ Offers Free Landline Calls To 16 Countries' (0.78),"b'Microsoft Drops Price of Surface Pro Tablets, Too' (0.75)"
27,Are You Being Too Nice for Your Own Good?,b'How to Handle a Public Relations Crisis' (0.83),b'What Are Sunk Costs?' (0.73),b'The Art of Pricing' (0.70),b'How To Get Everything You Promised Done' (0.69),b'Why We Are Afraid to Talk Pricing' (0.68),"b'Up close & personal: How Sunny Leone handles stocks, land, gold, other assets' (0.65)",b'Getting Comfortable With Self-Promotion' (0.64),b'8 Daily Steps to Compete Like a Champion' (0.63),b'A Good Sense Of Humor is Great For Your Sense Of Life and Business' (0.62),b'How to Handle a BBB Complaint Against Your Company' (0.60)
28,Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation,b'The Evolution of Affiliate Marketing' (0.82),b'Loni Stark of Adobe: Digital Marketing Solutions in the Cloud' (0.75),b'Getting Your Invention To Market' (0.74),b'Watch These Metrics to Measure YouTube Marketing Success' (0.74),b'3 Steps to Performing Content Marketing on a Shoestring Budget' (0.73),b'Coca-Cola: Marketing Done Right' (0.72),b'Increase Your Website Credibility in the Age of Content Marketing' (0.71),"b'Email Marketing is Not Dead, Bring it Back to Life With These Resources' (0.70)",b'The Psychology of Color in Marketing' (0.70),b'SMB Marketing Is About Telling Your Story' (0.68)
29,Vine: Now You Can Send Video Messages Directly to Friends and Colleagues,b'Rumors Are Confirmed; Instagram Adds Video' (0.83),b'Podio Launches Video Conference App' (0.73),"b'Look at Your Phone For Messages? Nope, Look at Your Pebble Smartwatch' (0.68)",b'WitKit Platform Lets Your Team Collaborate in Security' (0.61),b'WhatsApp Messaging Service Reaches 400 Million Active Users' (0.59),b'Amazon AWS MarketPlace Puts Desktop Apps in the Cloud' (0.57),b'Minbox Touts Faster Uploads Than Dropbox in Cloud Storage' (0.57),b'Go Daddy CEO Steps Down' (0.54),b'6 Actually-Useful Facebook Apps For SMBs' (0.53),b'Mix360 Headset Promises Hi-Fi Experience From Your Smartphone' (0.50)
30,Social Customers Means a Social Inbox: Review of Nimble CRM,b'Batchbook and HootSuite Integration: View Social Media Activity and Customer Contacts Together' (0.84),b'Take the Time to Manage Customer Reviews' (0.80),b'Review of Hootsuite: Manage Social Media From A Single Dashboard' (0.80),b'How To Keep Customers Loyal With Coupons' (0.69),b'How to Claim a YouTube Custom Channel URL' (0.66),"b'How to Get More Positive Customer Reviews, Using Get Five Stars' (0.66)",b'Brennan Loh of Shopify: The Future of Ecommerce is in Customer Engagement' (0.59),b'Creating a Custom Favicon' (0.58),b'Present Shock: Taking A Moment to Review the Future' (0.57),b'Do Your Customers Look Forward to Seeing You?' (0.56)
31,10 Things You Need To Do After Forming An LLC,b'Are You Operating Your Business in Multiple States? What You Need to Know' (0.80),b'Do You Need to Notify the State of Changes to Your Business?' (0.70),b'The 10 things in advertising you need to know today' (0.69),"b""STOCKS GO NOWHERE: Here's what you need to know"" (0.67)",b'10 things in tech you need to know today' (0.67),"b""STOCKS RALLY: Here's what you need to know"" (0.66)",b'10 things you need to know before the opening bell' (0.66),b'Answers to Your Frequently Asked Questions About Incorporation' (0.65),b'Five Things You Need to Know to Start Your Day' (0.64),b'Are You Guilty of Committing the Top Incorporation Mistakes?' (0.62)
32,Mix360 Headset Promises Hi-Fi Experience From Your Smartphone,b'Cicret Could Turn Your Skin Into a Smartphone Display' (0.80),b'Print Photos From Your Phone with the Prynt Smartphone Case' (0.76),b'ONvocal Unveils Mix360 Noise Cancelling Headphones' (0.75),"b'New Microsoft Office Apps, Smartphone Memory Chip Make Headlines' (0.66)",b'HP Reinventing Traditional Computers With Mini Desktop PC' (0.65),b'What is Siri? And Does Siri Have Competitors?' (0.63),b'Microsoft Temporarily Cuts the Price on the Surface 2' (0.62),b'New LG Smartphone Added to the G3 Line Has a Stylus Pen' (0.62),b'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop' (0.61),"b'Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets' (0.59)"
33,20 Reasons People Unfollow You On Twitter,b'Who Should You Follow on Twitter?' (0.95),b'You Should Consider These Things When Choosing Who To Follow On Twitter' (0.94),b'10 Reasons to Boost Your Twitter Presence' (0.88),b'Twitter Accidentally Sends Out Thousands of Reset Notices' (0.87),b'Twitter is Playing Favorites With People You Follow' (0.86),b'10 Twitter Blunders Businesses Should Avoid' (0.86),b'Bing Gives Twitter Results Including Hashtags and Handles' (0.84),b'Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement' (0.84),b'5 Tools to Research the Demographics of Your Twitter Followers' (0.83),b'Save the Date for a Twitter Chat: Demystifying Data Backup' (0.81)
34,ZenPayroll Could Change the Way You Pay,b'5 Ways to Avoid BYOD Nightmares' (0.82),"b'Meet Byju, whos changing the way India learns' (0.79)",b'22 Ways to Renew Your Spirit and Get Your Mojo Back' (0.76),b'4 ways to tell whether it is love or lust' (0.74),b'Omnichannel done right: 4 ways to keep the communication in marketingcommunications' (0.68),b'10 Ways to Save Money for Your Business' (0.67),b'Why You Need Honest Feedback and 3 Ways to Get It' (0.66),b'3 Ways to Perform SEO on a Shoestring Budget' (0.65),b'Agriculture has seen little reform in 25 years but there are crorepati farmers who have come up the hard way' (0.63),b'6 Ways You Can Emulate Top Brands' (0.62)
35,How millions from the Bangladesh Bank heist disappeared,"b'Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs' (0.84)",b'You thought Vijay Mallya is the largest defaulter who owes banks money? Wait till you read this' (0.82),"b'Demonetisation: Banks may trim base rate by 360 bps in 3-4 years, says Ambit' (0.77)",b'10 Questions to Ask Before Applying for a Bank Loan' (0.74),b'Banks and tech firms apply blockchain to trade finance' (0.70),"b""Govt's decision to demonetise a retrograde move: Arvind Sanger"" (0.69)","b'SBA Fund Adds Manufacturing, Lifts $200 Million Limit' (0.69)","b'Yelp Loses Money, But Hits 100 Million Visitors' (0.69)",b'Bank of England brings down stimulus sledgehammer to beat Brexit blues' (0.69),b'Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer' (0.67)
36,How the Cloud is Reshaping Small Business Productivity,b'Small Business Product Launches and Shut Downs' (0.84),b'Why Small Businesses Love Cloud Services' (0.84),b'28 Webinar Services for Small Business Owners' (0.78),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.76),b'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses' (0.74),b'Small Business Wellness Programs and Return On Investment (ROI)' (0.73),b'Small Business Optimism: Status Quo or Cautious Optimism?' (0.72),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.71),b'How Much Will the Sequester Cost Small Business Contractors?' (0.70),b'Catch Up With Our Latest Small Business News Recap' (0.70)
37,How an English teacher conquered China : Wisdom of Jack Ma condensed into 33 quotes,b'The 10 most luxurious first-class plane cabins in the world' (0.76),b'Birth to re-birth: The man who made Savita Bhabhi' (0.76),"b'[Techie Tuesdays] A tribute to Humblefool, the best coder that ever lived in India' (0.71)",b'The Art of Pricing' (0.70),"b'5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania' (0.67)",b'Game Plan:' (0.63),b'Photographer Driven Bananas Over Wikipedia Monkey Selfies' (0.63),b'Texas Hair Braiding Law Struck Down in Court Decision' (0.62),b'Odd Lots' (0.60),b'Read Adaptability and Learn to Thrive in Any Environment' (0.58)
38,5 Benefits of Having a Website for Your Small Business,b'Getting Your Small Business Started On Yelp' (0.90),b'Are You Blogging for Your Small Business?' (0.88),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.88),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.86),b'12 Blogs Every Small Business Should Be Reading' (0.85),b'The Commitment Engine Inspires Small Business Growth' (0.82),b'How Often Should You Update Your Small Business Blog?' (0.81),b'28 Webinar Services for Small Business Owners' (0.80),b'Email Erases 9 to 5 at Many Small to Mid-Sized Businesses' (0.79),b'How Much Will the Sequester Cost Small Business Contractors?' (0.78)
39,Senate Passes Internet Sales Tax; Bill Moves to House,b'Internet Sales Tax Bill May Stall in House of Representatives' (0.99),b'Internet Sales Tax Issue Still Lives Despite Activist Claims' (0.98),b'Small Businesses Divided on Internet Sales Tax' (0.87),"b'South Dakota, Texas Top List of Best State Tax Systems' (0.84)",b'New Tax Penalty Targets Health Reimbursement Accounts' (0.75),b'Successful S-Corp Owners: Watch Out For A Tax Increase' (0.73),b'Ohio Weighing Major Tax Break For Small Businesses' (0.70),b'Rs 1 Cr sales in four months  how a software engineer is giving Mandyas debt-ridden farmers a new lease of life' (0.61),b'Estimated Tax Payments:  Your Questions Answered' (0.59),b'Lessons Learned From Your 2013 Tax Return' (0.57)
40,Is It Time to Change Your Business Structure?,b'How To Set Up and Structure Multiple Businesses' (0.84),b'Do You Need to Notify the State of Changes to Your Business?' (0.80),b'How to Reinstate a Non-Compliant Business Before the End of the Year' (0.79),b'How to Turn Your Hobby Into a Business' (0.75),b'Top Reasons to Incorporate Your Business' (0.74),b'Your End of Year Legal Checklist' (0.72),b'Are You Guilty of Committing the Top Incorporation Mistakes?' (0.70),b'Planning a Summer Move: Move Your Corporation From One State to Another' (0.68),b'Answers to Your Frequently Asked Questions About Incorporation' (0.66),b'Will an LLC Help Lower Your Business Taxes?' (0.65)
41,Thanks to TheAppleBlog Sponsors!,b'Odd Lots' (0.79),b'The 10 most luxurious first-class plane cabins in the world' (0.78),b'Odd Lots:' (0.75),"b""Govt's decision to demonetise a retrograde move: Arvind Sanger"" (0.71)",b'Game Plan:' (0.68),b'Photographer Driven Bananas Over Wikipedia Monkey Selfies' (0.64),b'These 19 companies are racing to put driverless cars on the road by 2020' (0.61),b'Chinese yuan strengthens' (0.60),b'Fox Mobile/Jamba CEO Lucy Hood Resigns; European Focus Going Forward' (0.60),b'Lodha says it sold Rs 150-160 cr new property in last 10 days' (0.59)
